Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,109734.0,109734.0,105981.0,106376.0,106376.0,8130500
2023-01-03,106377.0,106684.0,103852.0,104166.0,104166.0,14466700
2023-01-04,104167.0,105627.0,103915.0,105334.0,105334.0,14451200
2023-01-05,105336.0,107743.0,105333.0,107518.0,107518.0,15512000
2023-01-06,107642.0,109433.0,107642.0,108836.0,108836.0,12626600
2023-01-09,108964.0,109938.0,108134.0,109227.0,109227.0,12047300
2023-01-10,109129.0,111193.0,108478.0,110912.0,110912.0,13697900
2023-01-11,110816.0,111841.0,110752.0,111763.0,111763.0,14461400
2023-01-12,112516.0,113129.0,110982.0,111877.0,111877.0,19839100
2023-01-13,111843.0,111847.0,110428.0,110916.0,110916.0,15939000
2023-01-16,110908.0,110908.0,108753.0,109213.0,109213.0,12512400
2023-01-17,109214.0,111577.0,109214.0,111439.0,111439.0,14363200
2023-01-18,111442.0,113306.0,111441.0,112452.0,112452.0,14128600
2023-01-19,112219.0,113172.0,111307.0,113006.0,113006.0,15594300
2023-01-20,112922.0,113025.0,111735.0,112301.0,112301.0,15436600
2023-01-23,112041.0,113061.0,111542.0,111709.0,111709.0,13701000
2023-01-24,111746.0,113040.0,111669.0,113028.0,113028.0,11551500
2023-01-25,113028.0,114386.0,111927.0,114195.0,114195.0,11413000
2023-01-26,114271.0,114835.0,113591.0,114109.0,114109.0,10920800
2023-01-27,114178.0,114191.0,112044.0,112502.0,112502.0,10614500
2023-01-30,112319.0,112920.0,111824.0,111888.0,111888.0,11272700
2023-01-31,112273.0,113581.0,112145.0,113532.0,113532.0,12900200
2023-02-01,113430.0,113598.0,110729.0,112303.0,112303.0,17821500
2023-02-02,112072.0,112943.0,109747.0,109935.0,109935.0,15241800
2023-02-03,110141.0,110570.0,108185.0,108490.0,108490.0,13235300
2023-02-06,108518.0,108710.0,107416.0,108456.0,108456.0,11514600
2023-02-07,108727.0,109037.0,107234.0,107920.0,107920.0,12956300
2023-02-08,107832.0,110175.0,107830.0,109882.0,109882.0,13837000
2023-02-09,109952.0,110046.0,107781.0,107783.0,107783.0,12956000
2023-02-10,108002.0,108647.0,107620.0,108150.0,108150.0,14458000
2023-02-13,108074.0,109193.0,107420.0,108846.0,108846.0,9973600
2023-02-14,108839.0,109564.0,107557.0,107659.0,107659.0,11894600
2023-02-15,107849.0,110210.0,107267.0,109442.0,109442.0,15499500
2023-02-16,109599.0,110437.0,108378.0,109905.0,109905.0,12995900
2023-02-17,109941.0,109941.0,108968.0,109303.0,109303.0,10058400
2023-02-22,109174.0,109174.0,106720.0,107152.0,107152.0,9356400
2023-02-23,107152.0,108663.0,106731.0,107720.0,107720.0,11459000
2023-02-24,107582.0,107611.0,105360.0,105873.0,105873.0,10221100
2023-02-27,105807.0,106402.0,105227.0,105711.0,105711.0,9570700
2023-02-28,105706.0,106794.0,104932.0,104932.0,104932.0,15672400
2023-03-01,104933.0,105497.0,103105.0,104385.0,104385.0,19853000
2023-03-02,104375.0,104912.0,103321.0,103326.0,103326.0,14738800
2023-03-03,103326.0,104440.0,103323.0,103866.0,103866.0,13101500
2023-03-06,103865.0,105171.0,103170.0,104700.0,104700.0,14277800
2023-03-07,104700.0,105179.0,103480.0,104228.0,104228.0,12578200
2023-03-08,104228.0,106721.0,104228.0,106540.0,106540.0,15904100
2023-03-09,106540.0,106724.0,105053.0,105071.0,105071.0,19174300
2023-03-10,105071.0,105071.0,103201.0,103618.0,103618.0,17952200
2023-03-13,103608.0,103907.0,102255.0,103121.0,103121.0,12993800
2023-03-14,103121.0,104153.0,102482.0,102932.0,102932.0,13133800
2023-03-15,102930.0,103048.0,100692.0,102675.0,102675.0,15246500
2023-03-16,102683.0,103911.0,102455.0,103435.0,103435.0,14385800
2023-03-17,103434.0,103434.0,101664.0,101982.0,101982.0,17560000
2023-03-20,101982.0,102328.0,100679.0,100923.0,100923.0,0
2023-03-21,100923.0,101670.0,100923.0,100998.0,100998.0,9672100
2023-03-22,100998.0,101888.0,100129.0,100221.0,100221.0,11504600
2023-03-23,100221.0,101126.0,96997.0,97926.0,97926.0,0
2023-03-24,97926.0,99258.0,97688.0,98829.0,98829.0,0
2023-03-27,98833.0,99997.0,98833.0,99670.0,99670.0,9990600
2023-03-28,99672.0,101559.0,99488.0,101185.0,101185.0,13500100
2023-03-29,101185.0,102213.0,100248.0,101793.0,101793.0,12456100
2023-03-30,101796.0,104085.0,101796.0,103713.0,103713.0,14901600
2023-03-31,103714.0,104041.0,101476.0,101882.0,101882.0,15111200
2023-04-03,101883.0,101916.0,100651.0,101506.0,101506.0,12794800
2023-04-04,101505.0,103056.0,101505.0,101869.0,101869.0,11695800
2023-04-05,101869.0,101960.0,99898.0,100978.0,100978.0,13256500
2023-04-06,100978.0,101628.0,100443.0,100822.0,100822.0,9818500
2023-04-10,100822.0,102196.0,100819.0,101847.0,101847.0,8148700
2023-04-11,101849.0,106455.0,101848.0,106214.0,106214.0,18725700
2023-04-12,106218.0,108277.0,106217.0,106890.0,106890.0,17345500
2023-04-13,106890.0,107037.0,106220.0,106458.0,106458.0,12182900
2023-04-14,106458.0,106701.0,104934.0,106279.0,106279.0,11501000
2023-04-17,106279.0,106830.0,105623.0,106016.0,106016.0,10253400
2023-04-18,106023.0,106475.0,105122.0,106163.0,106163.0,11207900
2023-04-19,106149.0,106149.0,103604.0,103913.0,103913.0,12713600
2023-04-20,103913.0,104615.0,103087.0,104367.0,104367.0,12378000
2023-04-24,104367.0,104822.0,103247.0,103947.0,103947.0,10935400
2023-04-25,103947.0,103947.0,102633.0,103220.0,103220.0,10873200
